,breed,summary,image,conservation_status,kingdom,phylum,order,family,binomial_name
311,Sooty shearwater,"The sooty shearwater (Ardenna grisea) is a medium-large shearwater in the seabird family Procellariidae. Ardenna was first used to refer to a seabird by Italian naturalist Ulisse Aldrovandi in 1603, and grisea is medieval Latin for ""grey"".In New Zealand, it is also known by its Māori name tītī and as muttonbird, like its relatives the wedge-tailed shearwater (A. pacificus) and the Australian short-tailed shearwater (A. tenuirostris).
It appears to be particularly closely related to the great shearwater (A. gravis) and the short-tailed shearwater, all blunt-tailed, black-billed species, but its precise relationships are obscure. In any case, these three species are among the larger species of shearwaters that have been moved into a separate genus Ardenna based on a phylogenetic analysis of mitochondrial DNA.",https://upload.wikimedia.org/wikipedia/commons/4/49/Puffinus_griseus_in_flight_-_SE_Tasmania.jpg,Near Threatened,Animalia,Chordata,Procellariiformes,Procellariidae,Ardenna grisea
312,Great shearwater,"The great shearwater (Ardenna gravis; formerly Puffinus gravis) is a large shearwater in the seabird family Procellariidae. Ardenna was first used to refer to a seabird by Italian naturalist Ulisse Aldrovandi in 1603, and gravis is Latin for ""heavy"".The great shearwater's relationships are unclear. It belongs in the group of large species that have been separated as genus Ardenna; within these, it might be allied with the other black-billed, blunt-tailed species, the short-tailed shearwater and especially the sooty shearwater.  Alternatively (Austin 1996, Austin et al. 2004), it could be a monotypic subgenus (Ardenna sensu stricto), an Atlantic representative of the light-billed Hemipuffinus group (pink-footed shearwater and flesh-footed shearwater).
This species breeds on Nightingale Island, Inaccessible Island, Tristan da Cunha, and Gough Island. It is one of only a few bird species to migrate from breeding grounds in the Southern Hemisphere to the Northern Hemisphere, the normal pattern being the other way around.  This shearwater nests in large colonies, laying one white egg in a small burrow or in the open grass.  These nests are visited only at night to avoid predation by large gulls.
This shearwater, like the sooty shearwater, follows a circular route, moving north up the eastern seaboard of first South and then North America, before crossing the Atlantic in August. It can be quite common off the southwestern coasts of Great Britain and Ireland before heading back south again, this time down the eastern littoral of the Atlantic.

This bird has the typically ""shearing"" flight of the genus, dipping from side to side on stiff wings with few wingbeats, the wingtips almost touching the water. Its flight is powerful and direct, with wings held stiff and straight.
This shearwater is 43–51 cm in length with a 105– to 122-cm wingspan. It is identifiable by its size, dark upper parts, and under parts white except for a brown belly patch and dark shoulder markings. It has a black cap, black bill, and a white ""horseshoe"" on the base of the tail. The stiff flight, like a large Manx shearwater, is also distinctive. The only other large shearwater in its range is the all-dark sooty shearwater.
The great shearwater feeds on fish and squid, which it catches from the surface or by plunge-diving. It readily follows fishing boats, where it indulges in noisy squabbles. This is a gregarious species, which can be seen in large numbers from ships or appropriate headlands.  They have a piercing eeyah cry usually given when resting in groups on the water.",https://upload.wikimedia.org/wikipedia/commons/8/8c/Puffinus_gravisPCCA20070623-3641B.jpg,Least Concern,Animalia,Chordata,Procellariiformes,Procellariidae,Ardenna gravis
313,Pink-footed shearwater,"The pink-footed shearwater (Ardenna creatopus) is a species of seabird.  The bird is 48 cm in length, with a 109-cm wingspan. It is polymorphic, having both darker- and lighter-phase populations. Together with the equally light-billed flesh-footed shearwater, it forms the Hemipuffinus group, a superspecies that may or may not have an Atlantic relative in the great shearwater. These are large shearwaters which are among those that could be separated in the genus Ardenna.This species is pelagic, occurring in the Pacific Ocean. It predominantly nests on offshore islands off Chile, i.e. Mocha Island. It is a transequatorial migrant, moving toward subarctic waters of the Pacific after raising its young. It is fairly common well off the West Coast of the United States during the country's warmer months.
The pink-footed shearwater feeds on mainly fish, squid, and crustaceans.
This bird nests in burrows, preferring forested slopes. It is a colonial nester.
Numbers of this shearwater have been reduced due to predation by introduced species, such as rats and cats. Some loss of birds also occurs from becoming entangled in fishing gear.",https://upload.wikimedia.org/wikipedia/commons/f/fc/Shearwater_pink-footed_ventral_fall_monterey_calif_2a.jpg,Vulnerable,Animalia,Chordata,Procellariiformes,Procellariidae,Ardenna creatopus
314,Flesh-footed shearwater,"The flesh-footed shearwater (Ardenna carneipes; formerly Puffinus carneipes) is a medium-sized shearwater. Its plumage is black. It has pale pinkish feet, and a pale bill with a distinct black tip. Together with the equally light-billed pink-footed shearwater, it forms the Hemipuffinus group, a superspecies which may or may not have an Atlantic relative in the great shearwater. These large shearwaters are among those that have been separated into the genus Ardenna. Recent genetic analysis indicates evidence of strong divergence between Pacific colonies relative to those in South and Western Australia, thought to be explained by philopatry and differences in foraging strategies during the breeding season.It breeds in colonies, and has two main breeding areas; one in the southwest Pacific Ocean includes Lord Howe Island (22,654 pairs ), South Australia (about 1,800 pairs breeding on two islands) and northern New Zealand (13,000 pairs); the other population comprises no more than 36,000 pairs breeding on 42 islands along the coast of Western Australia from Cape Leeuwin to the Recherche Archipelago. Another 500 pairs breed on St Paul Island in the Indian Ocean.  A record of birds on Astola Island of Pakistan in the Arabian Sea is unconfirmed. Recent evidence suggests populations are declining across much of the species' range. The species was recently listed as near threatened in Australia  and nationally vulnerable in New Zealand, and has been recommended for listing under the Agreement on the Conservation of Albatrosses and Petrels.  At the state level, the species is listed as vulnerable in Western Australia and New South Wales and rare in South Australia.
The species occurs as a (boreal) summer visitor in the North Pacific Ocean, where potentially large numbers are taken as bycatch in fisheries. The species also suffers from climate related impacts  and significant heavy metal contamination, the cause of which is not fully understood, but is likely due to the ingestion of significant quantities of plastic, which the birds mistake for food floating on the ocean surface.",https://upload.wikimedia.org/wikipedia/commons/c/c6/Puffinus_carneipes_-New_Zealand_-flying-8b.jpg,Near Threatened,Animalia,Chordata,Procellariiformes,Procellariidae,Ardenna carneipes
315,Manx shearwater,"The Manx shearwater (Puffinus puffinus) is a medium-sized shearwater in the seabird family Procellariidae. The scientific name of this species records a name shift: Manx shearwaters were called Manks puffins in the 17th century. Puffin is an Anglo-Norman word (Middle English pophyn) for the cured carcasses of nestling shearwaters. The Atlantic puffin acquired the name much later, possibly because of its similar nesting habits.",https://upload.wikimedia.org/wikipedia/commons/8/8e/Manx_Shearwater.JPG,Least Concern,Animalia,Chordata,Procellariiformes,Procellariidae,Puffinus puffinus
316,Black-vented shearwater,"The black-vented shearwater (Puffinus opisthomelas) is a species of seabird.  The bird is 30–38 cm in size, with a 76–89 cm wingspan. Formerly considered a subspecies of the Manx shearwater, its actual relationships are unresolved.This species is pelagic, occurring in the Pacific Ocean and the Gulf of California. It comes closer to land than most other shearwaters, so it sometimes can be seen from shore. It predominantly nests on offshore islands off north and western Baja California, namely Isla de Guadalupe, Islas San Benito and Isla Natividad.  It is fairly common off the United States coast of central and southern California during the country's colder months.
The black-vented shearwater is thought to feed on mainly small fish. This bird nests in burrows and caves; it is a colonial nester.
In the past, this bird had been threatened by feral cats and other predators on its breeding islands, but the problem seems to have been largely eliminated.  There is some loss of birds from commercial gill netting, and the species is classified as near threatened by the IUCN mainly due to the uncertain impact on it by the expanding fishing industry.",https://upload.wikimedia.org/wikipedia/commons/6/6c/BlackVentedShearwater.JPG,Near Threatened,Animalia,Chordata,Procellariiformes,Procellariidae,Puffinus opisthomelas
317,Audubon's shearwater,"The Audubon's shearwater (Puffinus lherminieri) is a common tropical seabird in the petrel family. Sometimes known as the dusky-backed shearwater, the specific epithet honours the French naturalist Félix Louis L'Herminier.
Certain populations are known variously as Baillon's shearwater, tropical shearwater, Bannerman's shearwater, Mascarene shearwater and Persian shearwater; some of these are considered distinct species by various authors. If they are all placed in P. lherminieri, the North Atlantic little shearwater (otherwise often separated as P. baroli) is generally included here too. Thus, these small shearwaters form a cryptic species complex.",https://upload.wikimedia.org/wikipedia/commons/c/cf/Audobon%27s_Shearwater.jpg,Least Concern,Animalia,Chordata,Procellariiformes,Procellariidae,Puffinus lherminieri
318,Barolo shearwater,"The Barolo shearwater (Puffinus baroli), also known as the North Atlantic little shearwater or Macaronesian shearwater, is a small shearwater which breeds in the Azores and Canaries of Macaronesia in the North Atlantic Ocean. Puffinus is a New Latin loanword based on the English ""puffin"" and its variants, such as  poffin, pophyn and puffing, that referred to the cured carcass of the fat nestling of the Manx shearwater, a former delicacy. The specific baroli refers to Carlo Tencredi Falletti, marquis of Barolo.",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,,Animalia,Chordata,Procellariiformes,Procellariidae,"Puffinus baroli, see text"
319,Wood stork,"The wood stork (Mycteria americana) is a large American wading bird in the stork family Ciconiidae. It was formerly called the ""wood ibis"", though it is not an ibis. It is found in subtropical and tropical habitats in the Americas, including the Caribbean. In South America, it is resident, but in North America, it may disperse to as far as South America. Originally described by Carl Linnaeus in 1758, this stork likely evolved in tropical regions. The head and neck are bare of feathers and dark grey in colour. The plumage is mostly white, with the exception of the tail and some of the wing feathers, which are black with a greenish-purplish sheen. The juvenile differs from the adult, with the former having a feathered head and a yellow bill, compared to the black adult bill. The sexes are similar.
The habitat of the wood stork can vary, but it must have a tropical or subtropical climate with fluctuating water levels. The one metre (3.3 ft) in diameter nest is found in trees, especially mangroves and those of the genus Taxodium, usually surrounded by water or over water. The wood stork nests colonially. The nest itself is made from sticks and greenery. During the breeding season, which is initiated when the water levels drop and can occur anytime between November and August, a single clutch of three to five eggs is laid. These are incubated for around 30 days, and the chicks hatch altricial. They fledge 60 to 65 days after hatching, although only about 31% of nests fledge a chick in any given year, with most chicks dying during their first two weeks, despite being watched by an adult during that time. The chicks are fed fish of increasing size. The diet of the adult changes throughout the year. During the dry season, fish and insects are eaten, compared to the addition of frogs and crabs during the wet season. Because it forages by touch, it needs shallow water to effectively catch food. This is also the reason why the wood stork breeds when water levels start to fall.
Globally, the wood stork is considered to be of least concern by the International Union for Conservation of Nature. This is due to its large range. In the United States, on the other hand, it is considered to be threatened. Predators of the wood stork include raccoons, which predate chicks, northern crested caracaras, which prey on eggs, and other birds of prey, which feed on both eggs and chicks. Hunting and egg-collecting by humans has been implicated as a factor in the decline of South American wood storks. Humans also cause nest failures through ecotourism, although observation through binoculars about 75 metres (246 ft) away does not have a large effect on nesting success. In both North and South America, habitat alteration has caused the wood stork to decline, with levee and drainage systems in the Everglades causing a shift in the timing of breeding and thus a decrease in breeding success.",https://upload.wikimedia.org/wikipedia/commons/1/1c/WoodStorkWhole.JPG,Least Concern,Animalia,Chordata,Ciconiiformes,Ciconiidae,Mycteria americana
320,Magnificent frigatebird,"The magnificent frigatebird (Fregata magnificens) is a seabird of the frigatebird family Fregatidae. With a length of 89–114 centimetres (35–45 in) and wingspan of 2.17–2.44 m (7.1–8.0 ft) it is the largest species of frigatebird. It occurs over tropical and subtropical waters off America, between northern Mexico and Ecuador on the Pacific coast and between Florida and southern Brazil along the Atlantic coast. There are also populations on the Galápagos Islands in the Pacific and the Cape Verde islands in the Atlantic.
The magnificent frigatebird is a large, lightly built seabird with brownish-black plumage, long narrow wings and a deeply forked tail. The male has a striking red gular sac which it inflates to attract a mate. The female is slightly larger than the male and has a white breast and belly. Frigatebirds feed on fish taken in flight from the ocean's surface (often flying fish), and sometimes indulge in kleptoparasitism, harassing other birds to force them to regurgitate their food.",https://upload.wikimedia.org/wikipedia/commons/e/e4/Fregata_magnificens_-Galapagos%2C_Ecuador_-male-8_%281%29.jpg,Least Concern,Animalia,Chordata,Suliformes,Fregatidae,Fregata magnificens
321,Blue-footed booby,"The blue-footed booby (Sula nebouxii) is a marine bird native to subtropical and tropical regions of the eastern Pacific Ocean. It is one of six species of the genus Sula – known as boobies. It is easily recognizable by its distinctive bright blue feet, which is a sexually selected trait. Males display their feet in an elaborate mating ritual by lifting them up and down while strutting before the female. The female is slightly larger than the male and can measure up to 90 cm (35 in) long with a wingspan of up to 1.5 m (5 ft).The natural breeding habitats of the blue-footed booby are the tropical and subtropical islands of the Pacific Ocean. It can be found from the Gulf of California down along the western coasts of Central and South America down to Peru. Approximately one half of all breeding pairs nest on the Galápagos Islands. Its diet mainly consists of fish, which it obtains by diving and sometimes swimming underwater in search of its prey. It sometimes hunts alone, but usually hunts in groups.

The blue-footed booby usually lays one to three eggs at a time. The species practices asynchronous hatching, in contrast to many other species whereby incubation begins when the last egg is laid and all chicks hatch together. This results in a growth inequality and size disparity between siblings, leading to facultative siblicide in times of food scarcity. This makes the blue-footed booby an important model for studying parent–offspring conflict and sibling rivalry.",https://upload.wikimedia.org/wikipedia/commons/3/3b/Blue-footed-booby.jpg,Least Concern,Animalia,Chordata,Suliformes,Sulidae,Sula nebouxii
322,Brown booby,"The brown booby (Sula leucogaster) is a large seabird of the booby family, Sulidae, of which it is perhaps the most common and widespread species. It has a pantropical range, which overlaps with that of other booby species. The gregarious brown booby commutes and forages at low height over inshore waters. Flocks plunge-dive to take small fish, especially when these are driven near the surface by their predators. They only nest on the ground, and roost on solid objects rather than the water surface.

",https://upload.wikimedia.org/wikipedia/commons/3/31/Atob%C3%A1-pardo.jpg,Least Concern,Animalia,Chordata,Suliformes,Sulidae,Sula leucogaster
323,Red-footed booby,"The red-footed booby (Sula sula) is a large seabird of the  booby family, Sulidae. Adults always have red feet, but the colour of the plumage varies. They are powerful and agile fliers, but they are clumsy in takeoffs and landings. They are found widely in the tropics, and breed colonially in coastal regions, especially islands. The species faces few natural or man-made threats, although its population is declining it is considered to be a least-concern species by the International Union for Conservation of Nature (IUCN).",https://upload.wikimedia.org/wikipedia/commons/4/45/Sula_sula_by_Gregg_Yan_01.jpg,Least Concern,Animalia,Chordata,Suliformes,Sulidae,Sula sula
324,Northern gannet,"The northern gannet (Morus bassanus) is a seabird, the largest species of the gannet family, Sulidae. It is native to the coasts of the Atlantic Ocean, breeding in Western Europe and North America. The sexes are similar in appearance. The adult northern gannet has a mainly white streamlined body with a long neck, long and slender wings. It is 87–100 cm (34–39 in) long with a 170–180 cm (67–71 in) wingspan. The head and nape have a buff tinge that is more prominent in breeding season, and the wings are edged with dark brown-black feathers. The long pointed bill is blue-grey, contrasting with black bare skin around the mouth and eyes. Juveniles are mostly grey-brown, becoming increasingly white in the five years it takes them to reach maturity.
Nesting takes place in colonies on both sides of the north Atlantic, the largest of which are at Bass Rock (75,000 pairs as of 2014), St Kilda (60,000 pairs as of 2013) and Ailsa Craig (33,000 pairs as of 2014) in Scotland, Grassholm in Wales, and Bonaventure Island (60,000 pairs in 2009) off the coast of Quebec. Its breeding range has extended northward and eastward, colonies being established on Russia's Kola Peninsula in 1995 and Bear Island, southernmost island of Svalbard, in 2011. Colonies are mostly located on offshore islands with cliffs, from which the birds can more easily launch into the air. The northern gannet undertakes seasonal migrations and hunts for the fish that form the bulk of its diet by high-speed dives into the sea.
The gannet was previously hunted for food in parts of its range, and the traditional practice still continues in the Outer Hebrides of Scotland and the Faroe Islands. It faces few natural or man-made threats, and since its population is growing it is considered to be a least-concern species by the International Union for Conservation of Nature (IUCN). As a conspicuous and common bird, it has been mentioned in several ancient myths and legends.",https://upload.wikimedia.org/wikipedia/commons/2/2d/Morus_bassanus_adu.jpg,Least Concern,Animalia,Chordata,Suliformes,Sulidae,Morus (bird) bassanus
325,Brandt's cormorant,"The Brandt's cormorant (Phalacrocorax penicillatus) is a strictly marine bird of the cormorant family of seabirds that inhabits the Pacific coast of North America. It ranges, in the summer, from Alaska to the Gulf of California, but the population north of Vancouver Island migrates south during the winter. Its specific name, penicillatus is Latin for a painter's brush (pencil of hairs), in reference to white plumes on its neck and back during the early breeding season. The common name honors the German naturalist Johann Friedrich von Brandt of the Academy of Sciences at St. Petersburg, who described the species from specimens collected on expeditions to the Pacific during the early 19th century.
Brandt's cormorants feed either singly or in flocks, and are adaptable in prey choice and undersea habitat. It feeds on small fish from the surface to sea floor, obtaining them, like all cormorants, by pursuit diving using its feet for propulsion. Prey is often what is most common: in central California, rockfish from the genus Sebastes is the most commonly taken, but off British Columbia, it is Pacific herring. Brandt's cormorants have been observed foraging at depths of over 36.5 m (120 ft) .
During the breeding season, adults have a blue throat patch. This species nests on the ground or on rocky outcroppings.

",https://upload.wikimedia.org/wikipedia/commons/8/82/Brandt%27s_Cormorant.jpg,Least Concern,Animalia,Chordata,Suliformes,Phalacrocoracidae,Phalacrocorax penicillatus
326,Neotropic cormorant,"The Neotropic cormorant or olivaceous cormorant (Phalacrocorax brasilianus) is a medium-sized cormorant found throughout the American tropics and subtropics, from the middle Rio Grande and the Gulf and Californian coasts of the United States south through Mexico and Central America to southern South America, where he is called by the Indian name of ""biguá"". It also breeds on the Bahamas, Cuba and Trinidad. It can be found both at coasts (including some mangrove areas) and on inland waters. There are at least two subspecies: P. b. mexicanus from Nicaragua northwards and P. b. brasilianus further south. In Peru the Neotropic cormorant is used by the Uru people for fishing.",https://upload.wikimedia.org/wikipedia/commons/0/0e/Phalacrocorax_brasilianus_%28Costa_Rica%29.jpg,Least Concern,Animalia,Chordata,Suliformes,Phalacrocoracidae,Phalacrocorax brasilianus
327,Double-crested cormorant,"The double-crested cormorant (Phalacrocorax auritus) is a member of the cormorant family of seabirds. Its habitat is near rivers and lakes as well as in coastal areas, and is widely distributed across North America, from the Aleutian Islands in Alaska down to Florida and Mexico. Measuring 70–90 cm (28–35 in) in length, it is an all-black bird which gains a small double crest of black and white feathers in breeding season. It has a bare patch of orange-yellow facial skin. Five subspecies are recognized. It mainly eats fish and hunts by swimming and diving. Its feathers, like those of all cormorants, are not waterproof and it must spend time drying them out after spending time in the water. Once threatened by the use of DDT, the numbers of this bird have increased markedly in recent years.",https://upload.wikimedia.org/wikipedia/commons/f/fb/Phalacrocorax-auritus-007.jpg,Least Concern,Animalia,Chordata,Suliformes,Phalacrocoracidae,Phalacrocorax auritus
328,Great cormorant,"The great cormorant (Phalacrocorax carbo), known as the great black cormorant across the Northern Hemisphere, the black cormorant in Australia, the large cormorant in India and the black shag further south in New Zealand, is a widespread member of the cormorant family of seabirds. The genus name is Latinised Ancient Greek, from φαλακρός (phalakros, ""bald"") and κόραξ (korax, ""raven""), and carbo is Latin for ""charcoal"".It breeds in much of the Old World and the Atlantic coast of North America.",https://upload.wikimedia.org/wikipedia/commons/6/68/Phalacrocorax_carbo_Vic.jpg,Least Concern,Animalia,Chordata,Suliformes,Phalacrocoracidae,Phalacrocorax carbo
329,Red-faced cormorant,"The red-faced cormorant, red-faced shag or violet shag (Phalacrocorax urile) is a species of cormorant that is found in the far north of the Pacific Ocean and Bering Sea, from the eastern tip of Hokkaidō in Japan, via the Kuril Islands, the southern tip of the Kamchatka Peninsula and the Aleutian Islands to the Alaska Peninsula and Gulf of Alaska. The red-faced cormorant is closely related to the pelagic cormorant P. pelagicus, which has a similar range, and like the pelagic cormorant is placed by some authors (e.g. Johnsgaard) in a genus Leucocarbo.  Where it nests alongside the pelagic cormorant, the red-faced cormorant generally breeds the more successfully of the two species, and it is currently increasing in numbers, at least in the easterly parts of its range.  It is however listed as being of conservation concern, partly because relatively little is so far known about it.
The adult bird has glossy plumage that is a deep greenish blue in color, becoming purplish or bronze on the back and sides.  In breeding condition it has a double crest, and white plumes on the flanks, neck and rump, and the bare facial skin of the lores and around the eyes is a bright orange or red, giving the bird its name; although the coloration is less vivid outside the breeding season, the red facial skin is enough to distinguish it from the otherwise rather similar pelagic cormorant.  Its legs and feet are brownish black.  Its wings range from 25 to 29 cm in extent, with females having on average about 5 cm shorter wings.  Adults weigh between 1.5 and 2.3 kg, with females averaging 350 g less than males.
Analysis of stomach contents suggests that the red-faced cormorant is mainly a bottom feeder, taking cottids especially.  Adults have few predators, though river otters may attempt to take them, as will corvids of various species, bald eagles and golden eagles.  Gulls and corvids are common predators on eggs and chicks.",https://upload.wikimedia.org/wikipedia/commons/e/e9/Red-faced_Cormorant_on_St._Paul_Island_by_Lisa_Hupp_USFWS.jpg,Least Concern,Animalia,Chordata,Suliformes,Phalacrocoracidae,Phalacrocorax urile
330,Pelagic cormorant,"The pelagic cormorant (Phalacrocorax pelagicus), also known as Baird's cormorant, is a small member of the cormorant family Phalacrocoracidae. Analogous to other smallish cormorants, it is also called the pelagic shag occasionally. This seabird lives along the coasts of the northern Pacific; during winter it can also be found in the open ocean. Pelagic cormorants have relatively short wings due to their need for economical movement underwater, and consequently have the highest flight costs of any bird.Many authors favor splitting up the ""wastebin genus"" Phalacrocorax. In this case, the pelagic cormorant would probably be placed in Compsohalieus.",https://upload.wikimedia.org/wikipedia/commons/2/2f/Pelagic_Cormorant_flying.jpg,Least Concern,Animalia,Chordata,Suliformes,Phalacrocoracidae,Phalacrocorax pelagicus
331,Anhinga,"The anhinga (; Anhinga anhinga), sometimes called snakebird, darter, American darter, or water turkey, is a water bird of the warmer parts of the Americas. The word anhinga comes from the Brazilian Tupi language and means devil bird or snake bird. The origin of the name snakebird is apparent when swimming: only the colored neck appears above water so the bird looks like a snake ready to strike. They do not have external nares (nostrils) and breathe solely through their epiglottis.
The anhinga is placed in the darter family, Anhingidae, and is closely related to Indian (Anhinga melanogaster), African (Anhinga rufa), and Australian (Anhinga novaehollandiae) darters. Like other darters, the anhinga hunts by spearing fish and other small prey using its sharp, slender beak.",https://upload.wikimedia.org/wikipedia/commons/7/7e/Anhinga_anhinga_-Costa_Rica-8.jpg,Least Concern,Animalia,Chordata,Suliformes,Anhingidae,Anhinga anhinga
332,American white pelican,"The American white pelican (Pelecanus erythrorhynchos) is a large aquatic soaring bird from the order Pelecaniformes. It breeds in interior North America, moving south and to the coasts, as far as Central America and South America, in winter.",https://upload.wikimedia.org/wikipedia/commons/3/32/American_White_Pelican.jpg,Least Concern,Animalia,Chordata,Pelecaniformes,Pelecanidae,Pelecanus erythrorhynchos
333,Brown pelican,"The brown pelican (Pelecanus occidentalis) is a North American bird of the pelican family, Pelecanidae. It is one of three pelican species found in the Americas and one of two that feed by diving in water. It is found on the Atlantic Coast from Nova Scotia to the mouth of the Amazon River, and along the Pacific Coast from British Columbia to northern Chile, including the Galapagos Islands. The nominate subspecies in its breeding plumage has a white head with a yellowish wash on the crown. The nape and neck are dark maroon–brown. The upper sides of the neck have white lines along the base of the gular pouch, and the lower fore neck has a pale yellowish patch. The male and female are similar, but the female is slightly smaller. The nonbreeding adult has a white head and neck. The pink skin around the eyes becomes dull and gray in the nonbreeding season. It lacks any red hue, and the pouch is strongly olivaceous ochre-tinged and the legs are olivaceous gray to blackish-gray.
The brown pelican mainly feeds on fish, but occasionally eats amphibians, crustaceans, and the eggs and nestlings of birds. It nests in colonies in secluded areas, often on islands, vegetated land among sand dunes, thickets of shrubs and trees, and mangroves. Females lay two or three oval, chalky white eggs. Incubation takes 28 to 30 days with both sexes sharing duties. The newly hatched chicks are pink, turning gray or black within 4 to 14 days. About 63 days are needed for chicks to fledge. Six to 9 weeks after hatching, the juveniles leave the nest, and gather into small groups known as pods.
The brown pelican is the national bird of Saint Martin, Barbados, Saint Kitts and Nevis, and the Turks and Caicos Islands, and the official state bird of Louisiana. It has been rated as a species of least concern by the International Union for Conservation of Nature. It was listed under the United States Endangered Species Act from 1970 to 2009, as pesticides such as  dieldrin and DDT threatened its future in the Southeastern United States and California. In 1972, the use of DDT was banned in Florida, followed by the rest of the United States. Since then, the brown pelican's population has increased. In 1903, Theodore Roosevelt set aside the first National Wildlife Refuge, Florida's Pelican Island,  to protect the species from hunters.

",https://upload.wikimedia.org/wikipedia/commons/5/51/Brown_Pelican21K.jpg,Least Concern,Animalia,Chordata,Pelecaniformes,Pelecanidae,Pelecanus occidentalis
334,American bittern,"The American bittern (Botaurus lentiginosus) is a species of wading bird in the heron family. It has a Nearctic distribution, breeding in Canada and the northern and central parts of the United States, and wintering in the U.S. Gulf Coast states, all of Florida into the Everglades, the Caribbean islands and parts of Central America.
It is a well-camouflaged, solitary brown bird that unobtrusively inhabits marshes and the coarse vegetation at the edge of lakes and ponds. In the breeding season it is chiefly noticeable by the loud, booming call of the male. The nest is built just above the water, usually among bulrushes and cattails, where the female incubates the clutch of olive-colored eggs for about four weeks. The young leave the nest after two weeks and are fully fledged at six or seven weeks.
The American bittern feeds mostly on fish but also eats other small vertebrates as well as crustaceans and insects. It is fairly common over its wide range, but its numbers are thought to be decreasing, especially in the south, because of habitat degradation. However the total population is large, and the International Union for Conservation of Nature has assessed its conservation status as being of ""Least Concern"".",https://upload.wikimedia.org/wikipedia/commons/8/8d/Botaurus_lentiginosus_28079.JPG,Least Concern,Animalia,Chordata,Pelecaniformes,Ardeidae,Botaurus lentiginosus
335,Least bittern,"The least bittern (Ixobrychus exilis) is a small heron, the smallest member of the family Ardeidae found in the Americas.",https://upload.wikimedia.org/wikipedia/commons/2/2c/Ixobrychus_exilis.jpg,Least Concern,Animalia,Chordata,Pelecaniformes,Ardeidae,Ixobrychus exilis
336,Great blue heron,"The great blue heron (Ardea herodias) is a large wading bird in the heron family Ardeidae, common near the shores of open water and in wetlands over most of North America and Central America, as well as the Caribbean and the Galápagos Islands. It is a rare vagrant to coastal Spain, the Azores, and areas of far southern Europe. An all-white population found only in south Florida and the Florida Keys is known as the great white heron.  Debate exists about whether it is a white color morph of the great blue heron, a subspecies of it, or an entirely separate species.",https://upload.wikimedia.org/wikipedia/commons/6/67/GBHfish5.jpg,Least Concern,Animalia,Chordata,Pelecaniformes,Ardeidae,Ardea herodias
337,Grey heron,"The grey heron (Ardea cinerea) is a long-legged predatory wading bird of the heron family, Ardeidae, native throughout temperate Europe and Asia and also parts of Africa. It is resident in much of its range, but some populations from the more northern parts migrate southwards in autumn. A bird of wetland areas, it can be seen around lakes, rivers, ponds, marshes and on the sea coast. It feeds mostly on aquatic creatures which it catches after standing stationary beside or in the water or stalking its prey through the shallows.
Standing up to 1 m tall, adults weigh from 1 to 2 kg (2.2 to 4.4 lb). They have a white head and neck with a broad black stripe that extends from the eye to the black crest. The body and wings are grey above and the underparts are greyish-white, with some black on the flanks. The long, sharply pointed beak is pinkish-yellow and the legs are brown.
The birds breed colonially in spring in ""heronries"", usually building their nests high in trees. A clutch of usually three to five bluish-green eggs is laid. Both birds incubate the eggs for  around 25 days, and then both feed the chicks, which fledge when 7-8 weeks old. Many juveniles do not survive their first winter, but if they do, they can expect to live for about 5 years.
In Ancient Egypt, the deity Bennu was depicted as a heron in New Kingdom artwork. 
In Ancient Rome, the heron was a bird of divination. Roast heron was once a specially prized dish; when George Neville became Archbishop of York in 1465, 400 herons were served to the guests.

",https://upload.wikimedia.org/wikipedia/commons/0/09/Graureiher_Grey_Heron.jpg,Least Concern,Animalia,Chordata,Pelecaniformes,Ardeidae,Ardea cinerea
338,Great egret,"The great egret (Ardea alba), also known as the common egret, large egret, or (in the Old World) great white egret or great white heron is a large, widely distributed egret, with four subspecies found in Asia, Africa, the Americas, and southern Europe. Distributed across most of the tropical and warmer temperate regions of the world, it builds tree nests in colonies close to water.",https://upload.wikimedia.org/wikipedia/commons/7/7b/Great_egret_%28Ardea_alba%29_Tobago.jpg,Least Concern,Animalia,Chordata,Pelecaniformes,Ardeidae,Ardea alba
