,breed,summary,image,other_names,nicknames,origin,weight,height,coat,color,lifespan
297,Koolie,"The Koolie (also known as the Australian Koolie or by the misnomer German Coolie) is an Australian dog breed. The Koolie is a working or herding dog which has existed in Australia since the early 19th century when it was bred from imported British working dogs. Robert Kaleski, in an article on Cattle Dogs in the August 1903 issue of the Agricultural Gazette of New South Wales, describes the ""Welsh heeler or merle, erroneously known as the German collie,"" as a ""blue-gray dog about the size and build of a smooth-haired collie, generally with wall eyes.""  The British background predominated in the dogs that came to be associated with the ""German collie"" name.
There is substantial variation in the Koolie population, as Koolies were bred to exhibit different characteristics in different regions. The Koolie Club of Australia defines the breed based on its ability to work rather than on its conformation. However, most Koolie breeders refer to the Koolie as a breed rather than as a type, and assert that it ""breeds true"", with various types or strains.
The Koolie is a 'herding dog', one which has a natural instinct to cast out (i.e., circle widely), round sheep and bring them back to their owner. Koolies are known as silent, upright, working dogs. They are used for ""herding"" sheep and also for quiet careful work at close quarters at lambing time or for ""shedding"" (cutting out) sheep.",https://upload.wikimedia.org/wikipedia/commons/e/ef/Pete_may01_web.JPG,Australian Koolie - German Koolie - Coulie - German Collie,,[[Australia]],,,,,
298,Koyun dog,"The Koyun dog is a flock and herd guardian dog of Molosser type. Koyun dogs are present in Ordu Province to the west of Rize in Turkey. This breed is also called Bayburt Kelpi locally.
The dog appears in various colours but dark grey is the most common. Bi-coloured animals occur. Rize Koyun dogs have a solid body structure and strong legs which make for easy traveling of the hilly areas of the Canik Mountains where they are found. The tail is normally in a downward position but is raised when the dog is alert. Shoulder heights of males are about 70 centimetres (28 in) and those of females about 1–2 cm lower.
The Rize Koyun is not a pet. In addition to guardian duties, it assists its human owners in giving vociferous or physical warning of intruding people or animals.",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,,,,,,,,
299,Kromfohrländer,"The Kromfohrländer ( KROHM-fər-land-ər) is a breed of dog that originated in Germany. It is used as a companion dog.

",https://upload.wikimedia.org/wikipedia/commons/6/65/Kromfohrlander_standing_in_snow%2C_North_Carolina%2C_USA..png,,Länder<br>Kromi,[[Germany]],,,,,
300,Kumaon Mastiff,"The Kumaon Mastiff, also known as the Cypro Kukur (Kumauni: सिप्रो कुकुर), is a rare Molosser-type working breed of dog originating in Uttarakhand state of India. Originally bred as a watch dog and livestock guardian in the hills of Kumaon, this dog is rare even in the region of its origin.",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,Sipro Kukur<br />Cypro Kukur,,"[[Kumaon division|Kumaon]], [[Uttarakhand]], [[India]]",,,,,
301,Kunming wolfdog,"The Kunming wolfdog (Chinese: 昆明狼狗; pinyin: Kūnmíng lánggǒu), also commonly known as the Kunming dog (Chinese: 昆明犬; pinyin: Kūnmíng quǎn), is an established breed of wolfdog originated in China. They have been trained as military assistant dogs to perform a variety of tasks such as detecting mines. Some are also trained to be fire dogs and rescue dogs. Today, they are commonly kept as family companions by many pet owners in China.",https://upload.wikimedia.org/wikipedia/commons/3/30/Kunming_Dog.jpg,Kunming dog<br/> Chinese wolfdog,,[[China]],,,,,
302,Kurī,"Kurī is the Māori name for the Polynesian dog. It was introduced to New Zealand by the Polynesian ancestors of the Māori during their migration from East Polynesia in the 13th century AD. According to Māori tradition, the demigod Māui transformed his brother-in-law Irawaru into the first dog.",https://upload.wikimedia.org/wikipedia/commons/9/93/Otago_Museum_Kuri_-_OMNZVT2162_03_%28cropped%29.jpg,,,New Zealand,,,,,
303,Kuvasz,"The Kuvasz (Hungarian pronunciation: [ˈkuvɒs]), is an ancient breed of livestock dog of Hungarian origin. Mention of the breed can be found in old Hungarian texts. They have historically been royal guard dogs, or guarded livestock, but have been increasingly found in homes as pets over the last seventy years.",https://upload.wikimedia.org/wikipedia/commons/7/76/Kuvasz_named_Kan.jpg,Hungarian Kuvasz,,[[Hungary]],{{convert|45|-|52|kg|lb|abbr|=|on}},{{convert|70|-|76|cm|in|abbr|=|on}},Ranges from straight to wavy,White,10–12 years
304,Kyi-Leo,"The Kyi-Leo (pronounced ""ki"" as in ""kite"") is a small yet sturdy rare dog breed originating from the crossing of a Maltese and a Lhasa Apso. It is also known as a Maltese Lion dog, and is often confused with the Lhasa Apso-Maltese hybrids or Lhatese. While the Kyi-Leo is officially classified as a particular breed or brand, the Lhatese remains a hybrid to cover mixes of the two other breeds.",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,,,,,,,,
305,Labrador Husky,"The Labrador Husky is a specific purebred dog. It is commonly mistaken for a Husky-Lab mix but in fact, it is its own breed. The Labrador Husky was originally brought to what is currently known as Labrador, Canada, in the 1300s by the Inuit. Its main purpose was to help the Inuit people survive in a highly demanding environment. The Labrador Husky was trained to pull sleds that transported goods. Labrador Huskies are known to be large but gentle dogs. The breed can grow to be bigger than the more commonly known Siberian Husky weighing in at 60-100 pounds. The dogs were later adapted to serve as a family pets. Labrador Huskies are good with children when trained properly and require a committed owner to maintain their needs. Some of these needs include proper grooming which involves regular brushing of its thick double coat. This breed does tend to have some serious health problems, including hip dysplasia, but in general, Labrador Huskies live anywhere between 10 - 13 years.",https://upload.wikimedia.org/wikipedia/commons/4/43/Labrador_huskies.JPG,,,[[Canada]] ([[Labrador]] of [[Newfoundland and Labrador]]),60 - 100 lb (27 - 45 kg),20 - 28 inches,Thick double coat - thick undercoat and soft outer coat,"Solid white, solid black, black and white, red and white, and grey and white",
306,Labrador Retriever,"The Labrador Retriever, or just Labrador, is a large type of retriever-gun dog. The Labrador is one of the most popular breeds of dog in Canada, the United Kingdom and the United States.A favourite disability assistance breed in many countries, Labradors are frequently trained to aid the blind, those who have autism, to act as a therapy dog, or to perform screening and detection work for law enforcement and other official agencies. Additionally, they are prized as sporting and hunting dogs.A few kennels breeding their ancestors, the St. John's water dog, were in England. At the same time, a combination of the sheep protection policy in Newfoundland and the rabies quarantine in the United Kingdom led to the gradual demise of the St. John's water dog in Canada.In the 1830s, the 10th Earl of Home and his nephews the 5th Duke of Buccleuch and Lord John Scott, had imported progenitors of the breed from Newfoundland to Europe for use as gundogs. Another early advocate of these Newfoundland dogs, or Labrador Retrievers as they later became known, was the 2nd Earl of Malmesbury who bred them for their expertise in waterfowling.During the 1880s, the 3rd Earl of Malmesbury, the 6th Duke of Buccleuch and the 12th Earl of Home collaborated to develop and establish the modern Labrador breed. The dogs Buccleuch Avon and Buccleuch Ned, given by Malmesbury to Buccleuch, were mated with bitches carrying blood from those originally imported by the 5th Duke and the 10th Earl of Home. The offspring are considered to be the ancestors of modern Labradors.

",https://upload.wikimedia.org/wikipedia/commons/2/26/YellowLabradorLooking_new.jpg,Labrador,Lab,United Kingdom and Canada,{{convert|65|–|80|lb|kg|abbr|=|on}},,,,12–13 years
307,Lagotto Romagnolo,"The Lagotto Romagnolo [laˈɡɔtto romaɲˈɲɔːlo] (plural Lagotti) is a breed of dog that comes from the Romagna sub-region of Italy. The name derives from Romagnol can lagòt, meaning ""water dog"".[1] Its traditional function is a gundog, specifically a water retriever; however, it is often used to hunt for truffles.

",https://upload.wikimedia.org/wikipedia/commons/9/9f/Lagotto_Romagnolo.jpg,Romagna Water Dog<br>Water Dog of Romagna,Lagotto,[[Italy]],,,,,
308,Lakeland Terrier,"The Lakeland Terrier is a dog breed, which takes its name from its place of origin, the Lake District  in England. The dog is a small to mid-size member of the Terrier family. While independent in personality, it interacts well with owners and all family members, and is mostly hypo-allergenic (non shedding). The breed is not widely owned in the United States.",https://upload.wikimedia.org/wikipedia/commons/7/78/Lakeland_Terrier.jpg,,,[[United Kingdom]] ([[England]]),,,,,
309,Lancashire Heeler,"The Lancashire Heeler is a small breed of dog developed for use as a drover and herder of cattle. The Lancashire Heeler is listed by the Kennel Club (UK) as a vulnerable breed.

",https://upload.wikimedia.org/wikipedia/commons/4/45/Lancashire_Heeler_600.jpg,Ormskirk Heeler<br>Ormskirk Terrier,,[[England]],,,,,
310,Landseer dog,"The Landseer is a dog breed. The breed is not recognized by all kennel clubs. It is not to be confused with a white and black Newfoundland, which is also often called a ""landseer"". 
The breed was named after the British painter Sir Edwin Henry Landseer, because in 1838 he created the painting A Distinguished Member of the Humane Society, which shows a dog of this breed.

",https://upload.wikimedia.org/wikipedia/commons/0/04/Landseer.jpg,,,[[Newfoundland (island)|Newfoundland]] (now part of [[Canada]]); [[Germany]]; [[Switzerland]],{{convert|65|-|80|kg|lb|abbr|=|on}},{{convert|72|-|80|cm|in|abbr|=|on}},,"white with black patches, white around the nose, white tail with little black",
311,Lapponian Herder,"The Lapponian herder (Lapinporokoira or Lapp Reindeer dog or Lapsk Vallhund) is a breed of dog from Finland, one of three Lapphund breeds developed from a type of dog used by the Sami people for herding and guarding their reindeer.",https://upload.wikimedia.org/wikipedia/commons/d/d3/Lapskvallhund.jpg,"Lapland Reindeer dog, Reindeer Herder, lapinporokoira (Finnish), lapsk vallhund (Swedish)",,[[Finland]],,,,,
312,Lapponian Shepherd,"The Lapponian Shepherd (Lapinpaimenkoira) or Cockhill's Finnish Lapphound (Kukonharjunkoira) is an extinct dog breed originating from Finland. Despite its name, it did not come from Lappland, but from the southern parts of the country.",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,,,,,,,,
313,Large Münsterländer,"The Large Münsterländer (or Großer Münsterländer) is a breed of gun dog originally from the Münster region in Germany.The first breed club was founded in Germany in 1919 and the breed was recognised by the Kennel Club (UK) in 1971.The breed is an offshoot of the German Longhaired Pointer, and was officially recognized as a separate breed when the German Longhaired Pointer club chose to deny recognition to the black and white color variation.",https://upload.wikimedia.org/wikipedia/commons/6/61/GrosserMuensterlaender.jpg,Großer Münsterländer<br>Großer Münsterländer Vorstehhund,,Germany,,,,,
314,Leonberger,"The Leonberger is a giant dog breed, whose name derives from the city of Leonberg in Baden-Württemberg, Germany. According to legend, the Leonberger was ostensibly bred as a ""symbolic dog"" that would mimic the lion in the town coat of arms. It is in the Working Group for dog shows such as Crufts, but not at the World Dog Show.

",https://upload.wikimedia.org/wikipedia/commons/5/5a/Leonberger_Norway.JPG,,"""Leo""<br />""Gentle Lion""<br />""Gentle Giant""",[[Germany]],,,,,
315,Lhasa Apso,"The Lhasa Apso ( LAH-sə AP-soh) is a non-sporting dog breed originating in Tibet. It was bred as an interior sentinel in the Buddhist monasteries, to alert the monks to any intruders who entered. Lhasa is the capital city of Tibet, and apso is a word in the Tibetan language meaning ""bearded,"" so, Lhasa Apso simply means ""long-haired Lhasa dog."" There are, however, some who claim that the word ""apso"" is a form of the Tibetan word ""rapso"" meaning ""goat-like"" which would make the equivalent translation ""woolly Lhasa dog.""",https://upload.wikimedia.org/wikipedia/commons/8/87/Aishia.jpg,,,[[Tibet]] ([[China]]),{{convert|15|-|18|lb|abbr|=|on|sigfig|=|1}},{{convert|10|–|11|in|cm|abbr|=|on}},"Long, dense",All dog colors,12–14 years
316,Lithuanian Hound,"The Lithuanian Hound (Lithuanian: Lietuvių skalikas) is a rare, medium-size hunting dog from Lithuania. It is sturdy and heavy-boned, but at the same time sleek and muscular. It has a short black coat with some brown on snout, chest, ears, forehead. The official standard allows for a small white spot on the chest, but not on toes. The dog's long tail is naturally low. The head is large, chest is broad, deep and low. Ears are long with rounded tips, and hang close to the cheeks. Neck is quite long and strong with no dewlap. The feet are strong and round, with compact toes, helping it be a fast, very agile, and determined pursuer.The Lithuanian Hound has been traditionally used to hunt hare, fox, and boar. The breed is mentioned in the Statutes of Lithuania (16th century). It is believed that it comes from the mixing of bloodhounds with several other hound breeds. Once a popular breed in Lithuania, the population decreased to 78 individuals after World War II. Thanks to several enthusiasts, the hound was revived, standardized, and the number of registered and documented dogs reached around 350 in 1987. After the dissolution of the Soviet Union, the breed decreased to around 150 individuals by 1998. The decrease in popularity is explained by changing hunting habits: the Lithuanian Hound is best suited for hunting large animals in large open areas, but modern hunting plots are decreasing in size. The Lithuanian Cynological Society plans to register the breed with the Fédération Cynologique Internationale (FCI).",MISSED,,,[[Lithuania]],,,,,
317,Louisiana Catahoula Leopard dog,"The Louisiana Catahoula Leopard Dog is an American dog breed named after Catahoula Parish, Louisiana, United States. Also known as the Catahoula Leopard Dog or Louisiana Catahoula, it became the state dog of Louisiana in 1979. The breed is sometimes referred to as the ""Catahoula Hound"" or ""Catahoula Leopard Hound"" because of its spots, although it is not a true hound but a cur. It is also called the ""Catahoula Hog Dog"", reflecting its traditional use in hunting wild boar.

",https://upload.wikimedia.org/wikipedia/commons/4/49/CatahoulaCurBlueMerle.jpg,Catahoula Hog Dog<br />Catahoula Hound<br />Catahoula Leopard Dog<br />Leopard Dog<br />Louisiana Catahoula,,United States,{{convert|40|-|95|lb|kg|abbr|=|on}},22-26,Short to medium,Varied,
318,Löwchen,"The Löwchen or  Little Lion Dog (German: Löwchen, ""little lion""; French: Petit chien lion, ""little lion dog"") is a breed of dog.  A small dog, they are considered by some registries as a toy dog and by the American Kennel Club as a non-sporting dog.
The Löwchen once had the dubious distinction, like the Portuguese Water Dog and the Havanese, of being the rarest dog in the world.  In 1973 there were only 65 registered examples of the breed. Even today, the breed generally has fewer than a few hundred new registrations each year worldwide.",https://upload.wikimedia.org/wikipedia/commons/5/5c/Lowchen.jpg,Petit Chien Lion<br>Little Lion Dog,,"[[Europe]], possibly [[France]] in particular",{{convert|5.4|-|8.1|kg|lb|abbr|=|on}},30-35.6 cm (12-14 in),,,
319,Lupo Italiano,"The Lupo Italiano, also known as the Italian Wolfdog, was a dog created by Mario Messi in 1966 by crossing a wolf from Northern Lazio raised as a puppy with a German Shepherd. Its female ancestor is described as a German Shepherd and, confusingly, a wild wolf. Although the breed is claimed to be a hybrid of the German shepherd with an Italian wolf, a genetic study conducted in 2018 could find no connection between this dog and the Italian wolf.

",https://upload.wikimedia.org/wikipedia/commons/5/5f/LupoItaliano.jpg,Italian Wolfdog,,[[Italy]],,{{nowrap|convert|60|–|70|cm|abbr|=|on}} {{convert|60|–|70|cm|abbr|=|on}},semi-long,,
320,Mackenzie River husky,"The term Mackenzie River husky describes several overlapping local populations of Arctic and sub-Arctic sled dog-type dogs, none of which constitutes a breed. Most prominent and current of these are the sled dogs of Donna Dowling and others in the interior of the American state of Alaska. These dogs are described as standing 26 to 29 inches (66 to 74 cm) in height and weighing 63 to 104 pounds (29 to 47 kg). Usually long-coated, they are rangy, deep-chested and long-legged, built for heavy freighting in single file through deep snow. Their colors are the usual northern-dog range of black and white, shades of grey and sable, tan, blond, and red.Historically, the term has been variously applied to different dog populations in the Arctic and sub-Arctic regions of Canada and Alaska. Dogs from Old Crow, Fort McPherson, Arctic Red River, Porcupine River, Hay River and Mackenzie River were crossed with large European breeds such as St. Bernards, Newfoundlands, or Staghounds and were sometimes called “Mackenzie River Hounds"", giving rise to great confusion surrounding the name. Some reference sources describe the Mackenzie River husky as a dog, used by the Royal Canadian Mounted Police, consisting of a mix of Canadian Eskimo dog, large European breeds, and wolf ancestry.",https://upload.wikimedia.org/wikipedia/commons/d/d8/MackenzieRiverHusky.jpg,,,,,,,,
321,Magyar agár,"The Magyar agár (MA) is a dog breed. It is a type of sighthound originating in Hungary and lands that previously belonged to the Austro-Hungarian Empire (such as Transylvania). It is used for hunting and coursing, and is also kept as a companion.",https://upload.wikimedia.org/wikipedia/commons/5/56/Magyar_ag%C3%A1r_male.jpg,"Hungarian greyhound,<br />Hungarian agar",,[[Hungary]];<br />[[Transylvania]] (part of [[Romania]]),,65–70 cm,"smooth, dense","Any, except for black and tan, blue and tricolor",12–14 years
322,Mahratta Greyhound,The Mahratta Greyhound or Maratha Greyhound is a dog breed originating in India.,https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,india breed,,[[India]],,,,,
323,Maltese (dog),The Maltese (Italian: [malˈteːze]) is a small breed of dog in the Toy Group. It descends from dogs originating in the Central Mediterranean Area. The breed name and origins are generally understood to derive from the Mediterranean island nation of Malta.,https://upload.wikimedia.org/wikipedia/commons/e/eb/Maltezer_Vereniging_Belgie.jpg,''Canis familiaris Maelitacus'',Sleeve Dog,Central Mediterranean Area,{{convert|3|-|8|lb|kg|abbr|=|on}},{{convert|8|-|10|in|cm|abbr|=|on}},white,,12-15 years
324,Maremma Sheepdog,"The  Maremma Sheepdog or Maremmano-Abruzzese Sheepdog (Italian: Cane da pastore Maremmano-Abruzzese), usually referred to simply as the Maremmano or Abruzzese Sheepdog, is a breed of livestock guardian dog indigenous to central Italy, particularly to Abruzzo and the Maremma region of Tuscany and Lazio. It has been used for centuries by Italian shepherds to guard sheep from wolves. The literal English translation of the name is ""The dog of the shepherds of the Maremma and Abruzzese region"". The English name of the breed derives from that of the Maremma marshlands, where, until recently, shepherds, dogs and hundreds of thousands of sheep over-wintered, and where the breed is today abundant although sheep-farming has decreased substantially.  The breed is widely employed in Abruzzo, where sheep herding remains vital to the rural economy and the wolf remains an active and protected predator. Similar breeds include the Pyrenean Mountain Dog, the Kuvasz of Hungary, the Tatra of Poland, the Cuvac of Slovakia and the Šarplaninac (although not white), with all of which it may share a common ancestor; and the Akbash Dog of Turkey.",https://upload.wikimedia.org/wikipedia/commons/8/82/Cane_Pastore_Abruzzese_Abruzzo.jpg,Cane da Pastore Maremmano-Abruzzese<br />Pastore Abruzzese<br />Pastore Maremmano<br/>Abruzzo Sheepdog<br/>Abruzzese Sheepdog,"Maremma, Maremmano, Abruzzese sheepdog",[[Italy]],,,,,
325,Marquesan Dog,"The Marquesan Dog or Marquesas Islands Dog is an extinct breed of dog from the Marquesas Islands. Similar to other strains of Polynesian dogs, it was introduced to the Marquesas by the ancestors of the Polynesian people during their migrations. Serving as a tribal totems and religious symbols, they were sometimes consumed as meat although less frequently than in other parts of the Pacific because of their scarcity. These native dogs are thought to have become extinct before the arrival of Europeans, who did not record their presence on the islands. Petroglyphic representations of dogs and the archaeological remains of dog bones and burials are the only evidence that the breed ever existed. Modern dog population on the island are the descendants of foreign breeds later reintroduced in the 19th century as companions for European settlers.",https://upload.wikimedia.org/wikipedia/commons/f/f0/Dog_relief_from_me%CA%BBae_I%CA%BBipona%2C_Puama%CA%BBu_Village%2C_Hiva_Oa%2C_Marquesas_Islands%2C_photograph_by_Moth_Clark%2C_2009_%28levels_adjusted%29.jpg,Marquesas Islands Dog,,[[Marquesas Islands]] ([[French Polynesia]]),,,,,
326,McNab dog,"The McNab Dog - commonly called McNab Shepherd or McNab Collie - is a herding dog that originated in the Mendocino region of Northern California.  The McNab was bred to withstand the tough conditions found in California such as heat, burrs, foxtails, and rugged terrain.  Until recently, the McNab was little known outside California, but the last three decades have seen a gain in popularity and geographic dispersal of the breed.",https://upload.wikimedia.org/wikipedia/en/4/4a/McNab-Shepherd-dodger.jpg,McNab Stock Dog<br>McNab Collie<br>McNab Sheepdog<br>McNab Herding Dog,,"[[Hopland, Mendocino County, California]], [[United States]]",35-65 lbs (16-30 kg),18-25 inches (45-64 cm),"smooth, short or medium","Black, red or blonde with white markings, and tricolored",13-15 years
327,Miniature American Shepherd,"The Miniature American Shepherd, frequently abbreviated MAS, is a small herding dog breed.  The MAS is highly intelligent and biddable.  The breed is often trained for dog sports such as herding, agility, obedience, canine freestyle, flyball, and others.

",https://upload.wikimedia.org/wikipedia/commons/7/77/Blue_Merle_Miniature_American_Shepherd_in_Grass.jpg,Miniature Australian Shepherd,Mini American and MAS,[[United States]],,{{convert|14|–|18|in|cm|abbr|=|on}},Medium length double coat,"Black, blue merle, red, red merle, with or without tan and/or white markings in specified areas",13–15 years
328,Miniature Bull Terrier,"The Miniature Bull Terrier is a breed with origins in the extinct English White Terrier, the Dalmatian and the Bulldog. The first existence is documented 1872 in The Dogs of British Island.

",https://upload.wikimedia.org/wikipedia/commons/4/4d/Bull_terier_i_bull_terier_miniatura_d46.jpg,Mini Bull,,[[England]],,Not to exceed {{convert|35.4|cm|in|0|abbr|=|on}},"Short, flat, even and harsh to touch",,11-14 years
329,Miniature Fox Terrier,"The Miniature Fox Terrier is a small, fine, lightweight working terrier developed as a hunting dog and vermin router.  It is known colloquially in its native Australia as the “Mini Foxie”.",https://upload.wikimedia.org/wikipedia/commons/3/38/Miniature_Fox_Terrier.jpg,"Toy fox terrier, Mini Foxie",,[[Australia]],{{convert|3.5|-|5.5|kg|lb|abbr|=|on}},24 - 30.5cm (9.5 - 12in),"Short, dense, smooth texture","Black, white,brown &tan",12 - 18
330,Miniature Pinscher,"The Miniature Pinscher (Zwergpinscher or Min Pin) is a small breed of dog originating from Germany. The breed's earliest ancestors may have included the German Pinscher mixed with Italian greyhounds and dachshunds.Historical artifacts and paintings place the Min Pin as a very old breed, but factual documentation began less than 200 years ago, leaving their actual origins to debate. Many historians and those who have researched the background of the breed agree that this heritage is most likely correct, adding the shorthaired German Pinscher to the family tree.
The international kennel club, the Fédération Cynologique Internationale, lists the Miniature Pinscher in Group 2, Section 1.1 Pinscher, along with the Dobermann, the German Pinscher, the Austrian Pinscher, and the other Toy Pinscher, the Affenpinscher. Other kennel clubs list the Miniature Pinscher in the Toy Group or Companion Group.

",https://upload.wikimedia.org/wikipedia/commons/a/a1/Miniature_pinscher.jpg,Zwergpinscher,"Min Pin, King of the Toys",Germany,,,,,
331,Miniature Schnauzer,"The Miniature Schnauzer is a breed of small dog of the Schnauzer type that originated in Germany in the mid-to-late 19th century. Miniature Schnauzers may have been developed from the smallest specimens of the Standard Schnauzer, or crosses between the Standard and one or more smaller breeds such as the Affenpinscher, Miniature Pinscher, and Poodles, as farmers bred a small dog that was an efficient ratting dog. They are described as ""spunky"" but aloof dogs, with good guarding tendencies without some guard dogs' predisposition to bite. Miniature Schnauzers are recognized in three colors internationally: solid black, black and silver, and pepper and salt.  There is a controversial fourth color variant in Miniature Schnauzers, pure white, which is not recognized universally.
It is the most popular Schnauzer breed, and remains one of the most popular worldwide, primarily for its temperament and relatively small size. As of 2017 it is the 17th most popular breed in the U.S.",https://upload.wikimedia.org/wikipedia/commons/d/dd/Miniature_Schnauzer_02.jpg,Zwergschnauzer (Dwarf Schnauzer),,Germany,{{convert|11|to|18|lb|kg|1|abbr|=|on}},{{convert|12|to|14|in|cm|0|abbr|=|on}},"Harsh and wiry when hand stripped, soft and curly when unclipped","Black, pepper and salt, black and silver, white",12 to 14 years
332,Miniature Shar Pei,"The Miniature Shar Pei or Mini Pei is a breed of dog with slightly smaller proportions than the larger Shar Pei. They have been bred to be smaller in size through a recessive gene carried in their DNA.  The reduced size of this breed creates a versatile dog that is unique yet small, making for a good family companion.",https://upload.wikimedia.org/wikipedia/commons/0/0b/XBlack.JPG,Mini Shar Pei<br>Mini Pei,,[[China]],{{convert|25|to|40|lb|kg|abbr|=|on}},{{convert|14|to|17|in|cm|abbr|=|on}},Horse Coat - not exceeding one quarter inch in length with a harsh feel<br> Brush Coat - less than one inch in length with a velvety feel<br> Bear Coat - longer than one inch in length with a wavy smooth feel,"White, Fawn, Cream, Chocolate, Apricot, Red, Lilac, Blue, or Black in Solid, Sable or Dilute variations",9-11 years
333,Molossus (dog),The Molossus (Greek: Μολοσσὸς) or Molossian hound is a breed of dog from ancient southern Europe.,https://upload.wikimedia.org/wikipedia/commons/b/bf/Molossian_Hound%2C_British_Museum.jpg,Μολοσσὸς,,[[Ancient Epirus]],,,,,
334,Molossus of Epirus,"Molossus of Epirus (Greek: Μολοσσός της Ηπείρου; Albanian: Molosat Shqiptare) is an ancient livestock guardian dog breed from Greece and Albania. The breed has been bred since the age of Alexander the Great to protecting livestock from carnivorous mammals including the wolf, European jackal and the brown bear in the mountainous regions of Greece and Albania, especially in Epirus. The Molossus is a pure Greek breed and is believed to be one of the main ancestors of today's Molosser breeds, such as the English Mastiff and the Neapolitan Mastiff, 
Because of its long existence and development, the breed is extremely healthy and enduring. Few examples live outside Greece, mainly in the Balkans.
The breed is closely related to the rare Hellenic Mastiff and the Molossus.",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,Μολοσσός της Ηπείρου<br>Epirus Mastiff<br>Epir Moloss<br>Molossos Tis Epirou<br>Mollosus<br>Qent Autokton Shqiptar,,[[Greece]]<br>[[Albania]],{{convert|45|-|65|kg|lb|abbr|=|on}},66-75 cm {{r|koe}},"Fine, smooth",uniform colours,about 15 years
335,Montenegrin Mountain Hound,"The Montenegrin Mountain Hound is a rare dog breed from the mountain regions across the Balkans. Black and tan, with a smooth coat, the Montenegrin Mountain Hound was called Black Hound in the past. The breed is of the same origin as the other Balkan hounds. He stands 18 to 22 inches (46 to 56 cm) high and weighs 44 to 55 pounds (20 to 25 kg). The breed is used to hunt fox, hare, and small game, occasionally hunting larger animals such as deer or even wild boar.
The breed was formerly known as the Yugoslavian Mountain Hound; the FCI changed the name on July 15, 1997. The first standard dates back to 1924. The breed bears strong resemblance to the Austrian Black and Tan Hound. The breed was first officially recognized on May 8, 1969 in Warsaw. American Rare Breed Association considers the breed endangered.
Perhaps the most memorable popular depiction of the Montenegrin Mountain Hound (then called Yugoslavian Mountain Hound) had been as the hand puppet ""Triumph, the Insult Comic Dog"", regularly appearing on the NBC television show Late Night with Conan O'Brien. Although the puppet displays physical characteristics of the breed, and was identified as such during many appearances, the caption identifying Triumph as a Yugoslavian Mountain Hound was promptly removed after NATO military attack ensued against FR Yugoslavia.

",https://upload.wikimedia.org/wikipedia/commons/8/8a/Montenegrin_Mountain_Hound_2.jpg,[[Montenegrin language|Montenegrin]]: Crnogorski planinski gonič,,[[Montenegro]],,,,,
336,Moscow Watchdog,"Moscow Watchdog (Russian: московская сторожевая, tr. moskovskaya storozhevaya) is a breed of dog that was bred in the Soviet Union. It descends from crosses between the St. Bernard and Caucasian Shepherd breed. It contains the physical size, attractiveness and intelligence of a St. Bernard and the awareness and assertive traits of a Caucasian Ovtcharka.The breed is very large and weight is between 45 and 68 kg (100 and 150 lbs) with a life expectancy of 9-11 years. They are known to be a large powerful breed with a gentle temperament, therefore if it is raised properly with training with discipline, the Moscow Watchdog could fit into any environment and be the perfect protective family pet. Unlike its modern St. Bernard counterparts, the breed needs lots of vigorous exercise. They do not drool like many of the other molossers. Until recently, Moscow Watchdogs were very hard to find outside of Russia and former Soviet states, however are now becoming more popular in Europe and have recently reached the United States. The first litter of Moscow Watchdogs was born in US on June 6, 2015. There are currently 27 Moscow Watchdogs living in the United States.",https://upload.wikimedia.org/wikipedia/commons/0/02/Moscow_watchdog_4.JPG,Moskovskaya Storozhevaya Sobaka,,[[Soviet Union]],,,,,
